table_name,grantee,privilege_type
access_code_redemptions,anon,INSERT
access_code_redemptions,anon,TRIGGER
access_code_redemptions,anon,REFERENCES
access_code_redemptions,anon,TRUNCATE
access_code_redemptions,anon,DELETE
access_code_redemptions,anon,UPDATE
access_code_redemptions,anon,SELECT
access_code_redemptions,authenticated,TRIGGER
access_code_redemptions,authenticated,INSERT
access_code_redemptions,authenticated,SELECT
access_code_redemptions,authenticated,UPDATE
access_code_redemptions,authenticated,DELETE
access_code_redemptions,authenticated,TRUNCATE
access_code_redemptions,authenticated,REFERENCES
access_codes,anon,INSERT
access_codes,anon,SELECT
access_codes,anon,UPDATE
access_codes,anon,DELETE
access_codes,anon,TRUNCATE
access_codes,anon,REFERENCES
access_codes,anon,TRIGGER
access_codes,authenticated,SELECT
access_codes,authenticated,TRIGGER
access_codes,authenticated,REFERENCES
access_codes,authenticated,TRUNCATE
access_codes,authenticated,DELETE
access_codes,authenticated,UPDATE
access_codes,authenticated,INSERT
ask_mutu_messages,anon,INSERT
ask_mutu_messages,anon,TRIGGER
ask_mutu_messages,anon,REFERENCES
ask_mutu_messages,anon,TRUNCATE
ask_mutu_messages,anon,DELETE
ask_mutu_messages,anon,UPDATE
ask_mutu_messages,anon,SELECT
ask_mutu_messages,authenticated,SELECT
ask_mutu_messages,authenticated,TRIGGER
ask_mutu_messages,authenticated,REFERENCES
ask_mutu_messages,authenticated,TRUNCATE
ask_mutu_messages,authenticated,DELETE
ask_mutu_messages,authenticated,UPDATE
ask_mutu_messages,authenticated,INSERT
discover_event_promos,anon,INSERT
discover_event_promos,anon,SELECT
discover_event_promos,anon,UPDATE
discover_event_promos,anon,DELETE
discover_event_promos,anon,TRUNCATE
discover_event_promos,anon,REFERENCES
discover_event_promos,anon,TRIGGER
discover_event_promos,authenticated,INSERT
discover_event_promos,authenticated,TRIGGER
discover_event_promos,authenticated,SELECT
discover_event_promos,authenticated,UPDATE
discover_event_promos,authenticated,DELETE
discover_event_promos,authenticated,TRUNCATE
discover_event_promos,authenticated,REFERENCES
email_logs,anon,TRIGGER
email_logs,anon,INSERT
email_logs,anon,SELECT
email_logs,anon,UPDATE
email_logs,anon,DELETE
email_logs,anon,TRUNCATE
email_logs,anon,REFERENCES
email_logs,authenticated,SELECT
email_logs,authenticated,INSERT
email_logs,authenticated,TRIGGER
email_logs,authenticated,REFERENCES
email_logs,authenticated,TRUNCATE
email_logs,authenticated,DELETE
